TreeUID,Farm,Treatment,Season,Diameter,Flower Intensity,No. of young pods,Damaged young pods,Matured pod,Damaged pod,Canopy health,pest,Mean pH,SD pH,Mean N (%),SD N (%),Mean P (mg/Kg),SD P (mg/Kg),Mean K (mg/Kg),SD K (mg/Kg),Mean  Ca(mg/Kg),SD  Ca(mg/Kg),Mean Mg(mg/Kg),SD Mg(mg/Kg),Mean O.C (%),SD O.C (%),Mean O.M (%),SD O.M (%),Mean NDVI,SD NDVI
F_1_TS_BCM_11,Farm 1,TS_BCM,Dry,24,Very low,10,1,9,0,Moderate,Very low,5.28,0.67,0.091,0.09,7.559,67.82,42.721,493.03,840,1213.37,24,269.72,0.918,0.85,1.582,1.47,0.67,0
F_1_TS_BCM_12,Farm 1,TS_BCM,Dry,46.5,Moderate,11,0,3,0,High,Very low,5.28,0.67,0.091,0.09,7.559,67.82,42.721,493.03,840,1213.37,24,269.72,0.918,0.85,1.582,1.47,0.67,0
F_1_TS_BCM_13,Farm 1,TS_BCM,Dry,25,Very low,5,0,10,0,Moderate,Very low,5.28,0.67,0.091,0.09,7.559,67.82,42.721,493.03,840,1213.37,24,269.72,0.918,0.85,1.582,1.47,0.67,0
F_1_TS_BCM_14,Farm 1,TS_BCM,Dry,34.2,Low,13,4,8,0,Moderate,Very low,5.28,0.67,0.091,0.09,7.559,67.82,42.721,493.03,840,1213.37,24,269.72,0.918,0.85,1.582,1.47,0.67,0
F_1_TS_BCM_15,Farm 1,TS_BCM,Dry,38,Low,3,0,2,0,Moderate,Very low,5.28,0.67,0.091,0.09,7.559,67.82,42.721,493.03,840,1213.37,24,269.72,0.918,0.85,1.582,1.47,0.67,0
F_1_TS_BCM_16,Farm 1,TS_BCM,Dry,27,Low,3,0,2,0,Moderate,Very low,5.28,0.67,0.091,0.09,7.559,67.82,42.721,493.03,840,1213.37,24,269.72,0.918,0.85,1.582,1.47,0.67,0
F_1_TS_BCM_17,Farm 1,TS_BCM,Dry,31,Low,7,0,11,0,Moderate,Very low,5.28,0.67,0.091,0.09,7.559,67.82,42.721,493.03,840,1213.37,24,269.72,0.918,0.85,1.582,1.47,0.67,0
F_1_TS_BCM_18,Farm 1,TS_BCM,Dry,29,Low,9,5,10,0,Moderate,Very low,5.28,0.67,0.091,0.09,7.559,67.82,42.721,493.03,840,1213.37,24,269.72,0.918,0.85,1.582,1.47,0.67,0
F_1_TS_BCM_19,Farm 1,TS_BCM,Dry,32,Moderate,3,0,6,0,Moderate,Very low,5.28,0.67,0.091,0.09,7.559,67.82,42.721,493.03,840,1213.37,24,269.72,0.918,0.85,1.582,1.47,0.67,0
F_1_TS_BCM_20,Farm 1,TS_BCM,Dry,34.7,Moderate,12,2,18,0,High,Very low,5.28,0.67,0.091,0.09,7.559,67.82,42.721,493.03,840,1213.37,24,269.72,0.918,0.85,1.582,1.47,0.67,0
F_1_TS_O_1,Farm 1,TS_O,Dry,23,Very low,4,0,4,0,Moderate,Very low,6.05,0.14,0.14,0.03,11.974,2.14,82.142,23.52,960,400.8,120,104.06,1.157,0.54,1.995,0.93,0.67,0
F_1_TS_O_2,Farm 1,TS_O,Dry,28.5,Very low,1,1,4,0,Moderate,Very low,6.05,0.14,0.14,0.03,11.974,2.14,82.142,23.52,960,400.8,120,104.06,1.157,0.54,1.995,0.93,0.67,0
F_1_TS_O_3,Farm 1,TS_O,Dry,21,Moderate,7,0,7,0,Moderate,Very low,6.05,0.14,0.14,0.03,11.974,2.14,82.142,23.52,960,400.8,120,104.06,1.157,0.54,1.995,0.93,0.67,0
F_1_TS_O_4,Farm 1,TS_O,Dry,25.5,Very low,0,0,2,0,High,Very low,6.05,0.14,0.14,0.03,11.974,2.14,82.142,23.52,960,400.8,120,104.06,1.157,0.54,1.995,0.93,0.67,0
F_1_TS_O_5,Farm 1,TS_O,Dry,28.7,Low,12,0,4,0,Moderate,Very low,6.05,0.14,0.14,0.03,11.974,2.14,82.142,23.52,960,400.8,120,104.06,1.157,0.54,1.995,0.93,0.67,0
F_1_TS_O_6,Farm 1,TS_O,Dry,36,Low,5,0,5,0,Moderate,Very low,6.05,0.14,0.14,0.03,11.974,2.14,82.142,23.52,960,400.8,120,104.06,1.157,0.54,1.995,0.93,0.67,0
F_1_TS_O_7,Farm 1,TS_O,Dry,27,Low,3,0,3,0,High,Very low,6.05,0.14,0.14,0.03,11.974,2.14,82.142,23.52,960,400.8,120,104.06,1.157,0.54,1.995,0.93,0.67,0
F_1_TS_O_8,Farm 1,TS_O,Dry,33.7,Low,14,2,6,0,High,Very low,6.05,0.14,0.14,0.03,11.974,2.14,82.142,23.52,960,400.8,120,104.06,1.157,0.54,1.995,0.93,0.67,0
F_1_TS_O_9,Farm 1,TS_O,Dry,22.5,Low,4,1,4,0,Moderate,Very low,6.05,0.14,0.14,0.03,11.974,2.14,82.142,23.52,960,400.8,120,104.06,1.157,0.54,1.995,0.93,0.67,0
F_1_TS_O_10,Farm 1,TS_O,Dry,35.5,Moderate,19,1,9,0,High,Very low,6.05,0.14,0.14,0.03,11.974,2.14,82.142,23.52,960,400.8,120,104.06,1.157,0.54,1.995,0.93,0.67,0
F_1_TS_O_11,Farm 1,TS_O,Dry,36,Moderate,1,0,2,0,High,Very low,6.05,0.14,0.14,0.03,11.974,2.14,82.142,23.52,960,400.8,120,104.06,1.157,0.54,1.995,0.93,0.67,0
F_1_TS_O_12,Farm 1,TS_O,Dry,26.5,Low,3,0,3,0,Moderate,Very low,6.05,0.14,0.14,0.03,11.974,2.14,82.142,23.52,960,400.8,120,104.06,1.157,0.54,1.995,0.93,0.67,0
F_1_TS_O_13,Farm 1,TS_O,Dry,44,Low,4,0,6,0,Moderate,Very low,6.05,0.14,0.14,0.03,11.974,2.14,82.142,23.52,960,400.8,120,104.06,1.157,0.54,1.995,0.93,0.67,0
F_1_TS_O_14,Farm 1,TS_O,Dry,24,Low,2,0,0,0,Moderate,Very low,6.05,0.14,0.14,0.03,11.974,2.14,82.142,23.52,960,400.8,120,104.06,1.157,0.54,1.995,0.93,0.67,0
F_1_TS_O_15,Farm 1,TS_O,Dry,27.2,Very low,4,0,0,0,Moderate,Very low,6.05,0.14,0.14,0.03,11.974,2.14,82.142,23.52,960,400.8,120,104.06,1.157,0.54,1.995,0.93,0.67,0
F_1_TS_O_16,Farm 1,TS_O,Dry,23,Very low,1,1,2,0,Moderate,Very low,6.05,0.14,0.14,0.03,11.974,2.14,82.142,23.52,960,400.8,120,104.06,1.157,0.54,1.995,0.93,0.67,0
F_1_TS_O_17,Farm 1,TS_O,Dry,34,Very low,1,0,0,0,Moderate,Very low,6.05,0.14,0.14,0.03,11.974,2.14,82.142,23.52,960,400.8,120,104.06,1.157,0.54,1.995,0.93,0.67,0
F_1_TS_O_18,Farm 1,TS_O,Dry,30,Very low,9,2,6,0,Moderate,Very low,6.05,0.14,0.14,0.03,11.974,2.14,82.142,23.52,960,400.8,120,104.06,1.157,0.54,1.995,0.93,0.67,0
F_1_TS_O_19,Farm 1,TS_O,Dry,35,Very low,1,0,0,0,Moderate,Very low,6.05,0.14,0.14,0.03,11.974,2.14,82.142,23.52,960,400.8,120,104.06,1.157,0.54,1.995,0.93,0.67,0
F_1_TS_O_20,Farm 1,TS_O,Dry,35,Very low,6,1,2,0,Moderate,Very low,6.05,0.14,0.14,0.03,11.974,2.14,82.142,23.52,960,400.8,120,104.06,1.157,0.54,1.995,0.93,0.67,0
F_1_I_BCM_1,Farm 1,I_BCM,Dry,42,Moderate,6,1,0,0,High,Very low,6.21,0.27,0.189,0.04,14.623,17.87,89.723,224.4,800,240.55,168,50.34,0.918,0.36,1.582,0.63,0.67,0
F_1_I_BCM_2,Farm 1,I_BCM,Dry,36,Very low,3,0,1,0,High,Very low,6.21,0.27,0.189,0.04,14.623,17.87,89.723,224.4,800,240.55,168,50.34,0.918,0.36,1.582,0.63,0.67,0
F_1_I_BCM_3,Farm 1,I_BCM,Dry,26,Low,4,0,2,0,High,Very low,6.21,0.27,0.189,0.04,14.623,17.87,89.723,224.4,800,240.55,168,50.34,0.918,0.36,1.582,0.63,0.67,0
F_1_I_BCM_4,Farm 1,I_BCM,Dry,35.2,Low,14,0,2,0,Moderate,Very low,6.21,0.27,0.189,0.04,14.623,17.87,89.723,224.4,800,240.55,168,50.34,0.918,0.36,1.582,0.63,0.67,0
F_1_I_BCM_5,Farm 1,I_BCM,Dry,31,Low,11,1,3,0,Moderate,Very low,6.21,0.27,0.189,0.04,14.623,17.87,89.723,224.4,800,240.55,168,50.34,0.918,0.36,1.582,0.63,0.67,0
F_1_I_BCM_6,Farm 1,I_BCM,Dry,40.5,Low,46,0,18,0,Moderate,Very low,6.21,0.27,0.189,0.04,14.623,17.87,89.723,224.4,800,240.55,168,50.34,0.918,0.36,1.582,0.63,0.67,0
F_1_I_BCM_7,Farm 1,I_BCM,Dry,30,Low,9,0,4,0,Moderate,Very low,6.21,0.27,0.189,0.04,14.623,17.87,89.723,224.4,800,240.55,168,50.34,0.918,0.36,1.582,0.63,0.67,0
F_1_I_BCM_8,Farm 1,I_BCM,Dry,25,Low,3,0,2,0,Moderate,Very low,6.21,0.27,0.189,0.04,14.623,17.87,89.723,224.4,800,240.55,168,50.34,0.918,0.36,1.582,0.63,0.67,0
F_1_I_BCM_9,Farm 1,I_BCM,Dry,21.5,Low,8,3,4,0,Moderate,Very low,6.21,0.27,0.189,0.04,14.623,17.87,89.723,224.4,800,240.55,168,50.34,0.918,0.36,1.582,0.63,0.67,0
F_1_I_BCM_10,Farm 1,I_BCM,Dry,30,Low,9,0,0,0,Moderate,Very low,6.21,0.27,0.189,0.04,14.623,17.87,89.723,224.4,800,240.55,168,50.34,0.918,0.36,1.582,0.63,0.67,0
F_1_I_BCM_11,Farm 1,I_BCM,Dry,22,Low,3,0,1,0,Moderate,Very low,6.21,0.27,0.189,0.04,14.623,17.87,89.723,224.4,800,240.55,168,50.34,0.918,0.36,1.582,0.63,0.67,0
F_1_I_BCM_12,Farm 1,I_BCM,Dry,24.5,Low,6,0,2,0,High,Very low,6.21,0.27,0.189,0.04,14.623,17.87,89.723,224.4,800,240.55,168,50.34,0.918,0.36,1.582,0.63,0.67,0
F_1_I_BCM_13,Farm 1,I_BCM,Dry,24.5,Moderate,12,2,1,0,High,Very low,6.21,0.27,0.189,0.04,14.623,17.87,89.723,224.4,800,240.55,168,50.34,0.918,0.36,1.582,0.63,0.67,0
F_1_I_BCM_14,Farm 1,I_BCM,Dry,29.5,High,8,0,5,1,High,Very low,6.21,0.27,0.189,0.04,14.623,17.87,89.723,224.4,800,240.55,168,50.34,0.918,0.36,1.582,0.63,0.67,0
F_1_I_BCM_15,Farm 1,I_BCM,Dry,38,Moderate,7,3,15,1,High,Very low,6.21,0.27,0.189,0.04,14.623,17.87,89.723,224.4,800,240.55,168,50.34,0.918,0.36,1.582,0.63,0.67,0
F_1_I_BCM_16,Farm 1,I_BCM,Dry,26.5,Low,13,2,7,1,High,Very low,6.21,0.27,0.189,0.04,14.623,17.87,89.723,224.4,800,240.55,168,50.34,0.918,0.36,1.582,0.63,0.67,0
F_1_I_BCM_17,Farm 1,I_BCM,Dry,36,Low,4,3,6,1,High,Very low,6.21,0.27,0.189,0.04,14.623,17.87,89.723,224.4,800,240.55,168,50.34,0.918,0.36,1.582,0.63,0.67,0
F_1_I_BCM_18,Farm 1,I_BCM,Dry,18.5,Low,8,5,1,1,Moderate,Very low,6.21,0.27,0.189,0.04,14.623,17.87,89.723,224.4,800,240.55,168,50.34,0.918,0.36,1.582,0.63,0.67,0
F_1_I_BCM_19,Farm 1,I_BCM,Dry,34,Low,18,1,5,1,Moderate,Very low,6.21,0.27,0.189,0.04,14.623,17.87,89.723,224.4,800,240.55,168,50.34,0.918,0.36,1.582,0.63,0.67,0
F_1_I_BCM_20,Farm 1,I_BCM,Dry,16.5,Very low,0,0,2,0,Moderate,Very low,6.21,0.27,0.189,0.04,14.623,17.87,89.723,224.4,800,240.55,168,50.34,0.918,0.36,1.582,0.63,0.67,0
F_1_TS_BCO_1,Farm 1,TS_BCO,Dry,30,Moderate,22,1,11,0,High,Very low,6.73,0.25,0.119,0.08,16.389,28.36,68.942,2282.19,1760,919.13,24,104.89,0.997,0.9,1.72,1.56,0.67,0
F_1_TS_BCO_2,Farm 1,TS_BCO,Dry,29,Low,23,10,20,0,High,Very low,6.73,0.25,0.119,0.08,16.389,28.36,68.942,2282.19,1760,919.13,24,104.89,0.997,0.9,1.72,1.56,0.67,0
F_1_TS_BCO_3,Farm 1,TS_BCO,Dry,26.5,Low,15,10,18,0,Moderate,Very low,6.73,0.25,0.119,0.08,16.389,28.36,68.942,2282.19,1760,919.13,24,104.89,0.997,0.9,1.72,1.56,0.67,0
F_1_TS_BCO_4,Farm 1,TS_BCO,Dry,25.5,Low,23,2,10,0,High,Very low,6.73,0.25,0.119,0.08,16.389,28.36,68.942,2282.19,1760,919.13,24,104.89,0.997,0.9,1.72,1.56,0.67,0
F_1_TS_BCO_5,Farm 1,TS_BCO,Dry,55.5,Low,6,1,6,0,High,Very low,6.73,0.25,0.119,0.08,16.389,28.36,68.942,2282.19,1760,919.13,24,104.89,0.997,0.9,1.72,1.56,0.67,0
F_1_TS_BCO_6,Farm 1,TS_BCO,Dry,49,Low,20,1,9,0,High,Very low,6.73,0.25,0.119,0.08,16.389,28.36,68.942,2282.19,1760,919.13,24,104.89,0.997,0.9,1.72,1.56,0.67,0
F_1_TS_BCO_7,Farm 1,TS_BCO,Dry,41.9,Low,4,1,5,0,High,Very low,6.73,0.25,0.119,0.08,16.389,28.36,68.942,2282.19,1760,919.13,24,104.89,0.997,0.9,1.72,1.56,0.67,0
F_1_TS_BCO_8,Farm 1,TS_BCO,Dry,37.5,Low,3,0,1,0,High,Very low,6.73,0.25,0.119,0.08,16.389,28.36,68.942,2282.19,1760,919.13,24,104.89,0.997,0.9,1.72,1.56,0.67,0
F_1_TS_BCO_9,Farm 1,TS_BCO,Dry,39.5,Low,3,0,3,0,Moderate,Very low,6.73,0.25,0.119,0.08,16.389,28.36,68.942,2282.19,1760,919.13,24,104.89,0.997,0.9,1.72,1.56,0.67,0
F_1_TS_BCO_10,Farm 1,TS_BCO,Dry,28.2,Moderate,7,2,5,0,High,Very low,6.73,0.25,0.119,0.08,16.389,28.36,68.942,2282.19,1760,919.13,24,104.89,0.997,0.9,1.72,1.56,0.67,0
F_1_TS_BCO_11,Farm 1,TS_BCO,Dry,30,Moderate,11,6,7,0,High,Very low,6.73,0.25,0.119,0.08,16.389,28.36,68.942,2282.19,1760,919.13,24,104.89,0.997,0.9,1.72,1.56,0.67,0
F_1_TS_BCO_12,Farm 1,TS_BCO,Dry,25.8,Moderate,8,2,5,0,High,Very low,6.73,0.25,0.119,0.08,16.389,28.36,68.942,2282.19,1760,919.13,24,104.89,0.997,0.9,1.72,1.56,0.67,0
F_1_TS_BCO_13,Farm 1,TS_BCO,Dry,43.5,Low,3,0,2,0,High,Very low,6.73,0.25,0.119,0.08,16.389,28.36,68.942,2282.19,1760,919.13,24,104.89,0.997,0.9,1.72,1.56,0.67,0
F_1_TS_BCO_14,Farm 1,TS_BCO,Dry,23.5,Low,6,1,2,0,Moderate,Very low,6.73,0.25,0.119,0.08,16.389,28.36,68.942,2282.19,1760,919.13,24,104.89,0.997,0.9,1.72,1.56,0.67,0
F_1_TS_BCO_15,Farm 1,TS_BCO,Dry,31,Low,10,2,7,0,Moderate,Very low,6.73,0.25,0.119,0.08,16.389,28.36,68.942,2282.19,1760,919.13,24,104.89,0.997,0.9,1.72,1.56,0.67,0
F_1_TS_BCO_16,Farm 1,TS_BCO,Dry,33.3,Low,9,3,2,0,Moderate,Very low,6.73,0.25,0.119,0.08,16.389,28.36,68.942,2282.19,1760,919.13,24,104.89,0.997,0.9,1.72,1.56,0.67,0
F_1_TS_BCO_17,Farm 1,TS_BCO,Dry,30,Low,6,0,16,0,High,Very low,6.73,0.25,0.119,0.08,16.389,28.36,68.942,2282.19,1760,919.13,24,104.89,0.997,0.9,1.72,1.56,0.67,0
F_1_TS_BCO_18,Farm 1,TS_BCO,Dry,31,Low,14,0,18,0,High,Very low,6.73,0.25,0.119,0.08,16.389,28.36,68.942,2282.19,1760,919.13,24,104.89,0.997,0.9,1.72,1.56,0.67,0
F_1_TS_BCO_19,Farm 1,TS_BCO,Dry,32,High,4,0,5,0,High,Very low,6.73,0.25,0.119,0.08,16.389,28.36,68.942,2282.19,1760,919.13,24,104.89,0.997,0.9,1.72,1.56,0.67,0
F_1_TS_BCO_20,Farm 1,TS_BCO,Dry,37,Low,1,0,0,0,High,Very low,6.73,0.25,0.119,0.08,16.389,28.36,68.942,2282.19,1760,919.13,24,104.89,0.997,0.9,1.72,1.56,0.67,0
F_1_TS_C_1,Farm 1,TS_C,Dry,35,Low,5,2,1,0,Moderate,Very low,5.85,0.19,0.112,0.09,7.559,2.68,48.964,133.57,840,785.88,528,746.34,1.716,0.97,2.958,1.68,0.67,0
F_1_TS_C_2,Farm 1,TS_C,Dry,18,Low,13,3,7,0,Moderate,Very low,5.85,0.19,0.112,0.09,7.559,2.68,48.964,133.57,840,785.88,528,746.34,1.716,0.97,2.958,1.68,0.67,0
F_1_TS_C_3,Farm 1,TS_C,Dry,36.3,Low,2,1,3,0,High,Very low,5.85,0.19,0.112,0.09,7.559,2.68,48.964,133.57,840,785.88,528,746.34,1.716,0.97,2.958,1.68,0.67,0
F_1_TS_C_4,Farm 1,TS_C,Dry,31,Moderate,10,2,3,0,High,Very low,5.85,0.19,0.112,0.09,7.559,2.68,48.964,133.57,840,785.88,528,746.34,1.716,0.97,2.958,1.68,0.67,0
F_1_TS_C_5,Farm 1,TS_C,Dry,33.7,Very low,0,0,0,0,Moderate,Very low,5.85,0.19,0.112,0.09,7.559,2.68,48.964,133.57,840,785.88,528,746.34,1.716,0.97,2.958,1.68,0.67,0
F_1_TS_C_6,Farm 1,TS_C,Dry,24.5,Very low,11,2,9,0,High,Very low,5.85,0.19,0.112,0.09,7.559,2.68,48.964,133.57,840,785.88,528,746.34,1.716,0.97,2.958,1.68,0.67,0
F_1_TS_C_7,Farm 1,TS_C,Dry,23,Very low,10,0,7,0,Moderate,Very low,5.85,0.19,0.112,0.09,7.559,2.68,48.964,133.57,840,785.88,528,746.34,1.716,0.97,2.958,1.68,0.67,0
F_1_TS_C_8,Farm 1,TS_C,Dry,30.5,Very low,22,1,17,0,Moderate,Very low,5.85,0.19,0.112,0.09,7.559,2.68,48.964,133.57,840,785.88,528,746.34,1.716,0.97,2.958,1.68,0.67,0
F_1_TS_C_9,Farm 1,TS_C,Dry,37.2,Very low,0,0,1,0,Moderate,Very low,5.85,0.19,0.112,0.09,7.559,2.68,48.964,133.57,840,785.88,528,746.34,1.716,0.97,2.958,1.68,0.67,0
F_1_TS_C_10,Farm 1,TS_C,Dry,33.5,Very low,8,0,2,0,Moderate,Very low,5.85,0.19,0.112,0.09,7.559,2.68,48.964,133.57,840,785.88,528,746.34,1.716,0.97,2.958,1.68,0.67,0
F_1_TS_C_11,Farm 1,TS_C,Dry,26,Low,8,1,6,0,High,Very low,5.85,0.19,0.112,0.09,7.559,2.68,48.964,133.57,840,785.88,528,746.34,1.716,0.97,2.958,1.68,0.67,0
F_1_TS_C_12,Farm 1,TS_C,Dry,26,Very low,1,0,0,0,High,Very low,5.85,0.19,0.112,0.09,7.559,2.68,48.964,133.57,840,785.88,528,746.34,1.716,0.97,2.958,1.68,0.67,0
F_1_TS_C_13,Farm 1,TS_C,Dry,31.5,Very low,0,0,1,0,Moderate,Very low,5.85,0.19,0.112,0.09,7.559,2.68,48.964,133.57,840,785.88,528,746.34,1.716,0.97,2.958,1.68,0.67,0
F_1_TS_C_14,Farm 1,TS_C,Dry,23.5,Very low,6,2,8,0,Moderate,Very low,5.85,0.19,0.112,0.09,7.559,2.68,48.964,133.57,840,785.88,528,746.34,1.716,0.97,2.958,1.68,0.67,0
F_1_TS_C_15,Farm 1,TS_C,Dry,25.5,Moderate,12,0,2,0,Moderate,Very low,5.85,0.19,0.112,0.09,7.559,2.68,48.964,133.57,840,785.88,528,746.34,1.716,0.97,2.958,1.68,0.67,0
F_1_TS_C_16,Farm 1,TS_C,Dry,16.5,Very low,5,0,14,0,Moderate,Very low,5.85,0.19,0.112,0.09,7.559,2.68,48.964,133.57,840,785.88,528,746.34,1.716,0.97,2.958,1.68,0.67,0
F_1_TS_C_17,Farm 1,TS_C,Dry,32.5,Low,3,1,3,0,High,Very low,5.85,0.19,0.112,0.09,7.559,2.68,48.964,133.57,840,785.88,528,746.34,1.716,0.97,2.958,1.68,0.67,0
F_1_TS_C_18,Farm 1,TS_C,Dry,22,Low,1,0,2,0,Moderate,Very low,5.85,0.19,0.112,0.09,7.559,2.68,48.964,133.57,840,785.88,528,746.34,1.716,0.97,2.958,1.68,0.67,0
F_1_TS_C_19,Farm 1,TS_C,Dry,22.7,Very low,1,0,0,0,Moderate,Very low,5.85,0.19,0.112,0.09,7.559,2.68,48.964,133.57,840,785.88,528,746.34,1.716,0.97,2.958,1.68,0.67,0
F_1_TS_C_20,Farm 1,TS_C,Dry,38.4,Moderate,8,3,4,0,Very High,Very low,5.85,0.19,0.112,0.09,7.559,2.68,48.964,133.57,840,785.88,528,746.34,1.716,0.97,2.958,1.68,0.67,0
F_1_TS_M_1,Farm 1,TS_M,Dry,26.4,Moderate,12,2,13,0,High,Very low,6.91,0.58,0.112,0.11,14.623,211.24,105.509,616.63,960,1413.31,24,516.08,3.471,1.24,5.985,2.13,0.67,0
F_1_TS_M_2,Farm 1,TS_M,Dry,40.6,Low,21,0,11,0,High,Very low,6.91,0.58,0.112,0.11,14.623,211.24,105.509,616.63,960,1413.31,24,516.08,3.471,1.24,5.985,2.13,0.67,0
F_1_TS_M_3,Farm 1,TS_M,Dry,29.8,Very low,5,1,2,0,High,Very low,6.91,0.58,0.112,0.11,14.623,211.24,105.509,616.63,960,1413.31,24,516.08,3.471,1.24,5.985,2.13,0.67,0
F_1_TS_M_4,Farm 1,TS_M,Dry,28.2,Low,10,6,11,0,High,Very low,6.91,0.58,0.112,0.11,14.623,211.24,105.509,616.63,960,1413.31,24,516.08,3.471,1.24,5.985,2.13,0.67,0
F_1_TS_M_5,Farm 1,TS_M,Dry,31,Moderate,9,0,21,0,High,Very low,6.91,0.58,0.112,0.11,14.623,211.24,105.509,616.63,960,1413.31,24,516.08,3.471,1.24,5.985,2.13,0.67,0
F_1_TS_M_6,Farm 1,TS_M,Dry,35,Low,0,0,4,0,High,Very low,6.91,0.58,0.112,0.11,14.623,211.24,105.509,616.63,960,1413.31,24,516.08,3.471,1.24,5.985,2.13,0.67,0
F_1_TS_M_7,Farm 1,TS_M,Dry,39.8,Low,19,1,4,0,High,Very low,6.91,0.58,0.112,0.11,14.623,211.24,105.509,616.63,960,1413.31,24,516.08,3.471,1.24,5.985,2.13,0.67,0
F_1_TS_M_8,Farm 1,TS_M,Dry,28.9,Low,8,1,6,0,High,Very low,6.91,0.58,0.112,0.11,14.623,211.24,105.509,616.63,960,1413.31,24,516.08,3.471,1.24,5.985,2.13,0.67,0
F_1_TS_M_9,Farm 1,TS_M,Dry,22.6,Very low,2,2,3,0,High,Very low,6.91,0.58,0.112,0.11,14.623,211.24,105.509,616.63,960,1413.31,24,516.08,3.471,1.24,5.985,2.13,0.67,0
F_1_TS_M_10,Farm 1,TS_M,Dry,36.3,Low,17,2,29,0,High,Very low,6.91,0.58,0.112,0.11,14.623,211.24,105.509,616.63,960,1413.31,24,516.08,3.471,1.24,5.985,2.13,0.67,0
F_1_TS_M_11,Farm 1,TS_M,Dry,52.3,Low,8,1,3,0,High,Very low,6.91,0.58,0.112,0.11,14.623,211.24,105.509,616.63,960,1413.31,24,516.08,3.471,1.24,5.985,2.13,0.67,0
F_1_TS_M_12,Farm 1,TS_M,Dry,50,Low,18,0,10,0,High,Very low,6.91,0.58,0.112,0.11,14.623,211.24,105.509,616.63,960,1413.31,24,516.08,3.471,1.24,5.985,2.13,0.67,0
F_1_TS_M_13,Farm 1,TS_M,Dry,31.7,Low,9,2,15,0,High,Very low,6.91,0.58,0.112,0.11,14.623,211.24,105.509,616.63,960,1413.31,24,516.08,3.471,1.24,5.985,2.13,0.67,0
F_1_TS_M_14,Farm 1,TS_M,Dry,31.5,Low,7,2,1,0,High,Very low,6.91,0.58,0.112,0.11,14.623,211.24,105.509,616.63,960,1413.31,24,516.08,3.471,1.24,5.985,2.13,0.67,0
F_1_TS_M_15,Farm 1,TS_M,Dry,39,Low,11,7,9,0,High,Very low,6.91,0.58,0.112,0.11,14.623,211.24,105.509,616.63,960,1413.31,24,516.08,3.471,1.24,5.985,2.13,0.67,0
F_1_TS_M_16,Farm 1,TS_M,Dry,39,Low,14,0,2,0,High,Very low,6.91,0.58,0.112,0.11,14.623,211.24,105.509,616.63,960,1413.31,24,516.08,3.471,1.24,5.985,2.13,0.67,0
F_1_TS_M_17,Farm 1,TS_M,Dry,32,Low,22,2,24,0,High,Very low,6.91,0.58,0.112,0.11,14.623,211.24,105.509,616.63,960,1413.31,24,516.08,3.471,1.24,5.985,2.13,0.67,0
F_1_TS_M_18,Farm 1,TS_M,Dry,27.4,Low,3,1,0,0,High,Very low,6.91,0.58,0.112,0.11,14.623,211.24,105.509,616.63,960,1413.31,24,516.08,3.471,1.24,5.985,2.13,0.67,0
F_1_TS_M_19,Farm 1,TS_M,Dry,45.5,Low,7,0,9,0,High,Very low,6.91,0.58,0.112,0.11,14.623,211.24,105.509,616.63,960,1413.31,24,516.08,3.471,1.24,5.985,2.13,0.67,0
F_1_TS_M_20,Farm 1,TS_M,Dry,46,Moderate,23,0,7,0,High,Very low,6.91,0.58,0.112,0.11,14.623,211.24,105.509,616.63,960,1413.31,24,516.08,3.471,1.24,5.985,2.13,0.67,0
F_2_I_BCM_1,Farm 2,I_BCM,Wet,30,Very low,1,0,0,0,Moderate,Very low,6.11,0.27,0.161,0.04,6.676,17.87,97.571,224.4,1000,240.55,312,50.34,1.875,0.36,3.233,0.63,0.92,0
F_2_I_BCM_2,Farm 2,I_BCM,Wet,36.9,Moderate,18,7,9,1,High,Very low,6.11,0.27,0.161,0.04,6.676,17.87,97.571,224.4,1000,240.55,312,50.34,1.875,0.36,3.233,0.63,0.92,0
F_2_I_BCM_3,Farm 2,I_BCM,Wet,37.3,Moderate,14,2,3,0,High,Very low,6.11,0.27,0.161,0.04,6.676,17.87,97.571,224.4,1000,240.55,312,50.34,1.875,0.36,3.233,0.63,0.92,0
F_2_I_BCM_4,Farm 2,I_BCM,Wet,25,Moderate,37,2,3,1,High,Very low,6.11,0.27,0.161,0.04,6.676,17.87,97.571,224.4,1000,240.55,312,50.34,1.875,0.36,3.233,0.63,0.92,0
F_2_I_BCM_5,Farm 2,I_BCM,Wet,25.9,Very low,9,1,2,0,Moderate,Very low,6.11,0.27,0.161,0.04,6.676,17.87,97.571,224.4,1000,240.55,312,50.34,1.875,0.36,3.233,0.63,0.92,0
F_2_I_BCM_6,Farm 2,I_BCM,Wet,24,Very low,15,4,4,0,High,Very low,6.11,0.27,0.161,0.04,6.676,17.87,97.571,224.4,1000,240.55,312,50.34,1.875,0.36,3.233,0.63,0.92,0
F_2_I_BCM_7,Farm 2,I_BCM,Wet,32.9,Moderate,12,1,4,1,High,Very low,6.11,0.27,0.161,0.04,6.676,17.87,97.571,224.4,1000,240.55,312,50.34,1.875,0.36,3.233,0.63,0.92,0
F_2_I_BCM_8,Farm 2,I_BCM,Wet,34,Very low,5,1,5,1,High,Low,6.11,0.27,0.161,0.04,6.676,17.87,97.571,224.4,1000,240.55,312,50.34,1.875,0.36,3.233,0.63,0.92,0
